,values,,,,,,,,,,,,,,,avg,,,,,SD,,,,
Time,50 킠,50 킠,50 킠,25 킠,25 킠,25 킠,12.5 킠,12.5 킠,12.5 킠,Pd,Pd,Pd,LB,LB,LB,50 킠,25 킠,12.5 킠,Pd,LB,50 킠,25 킠,12.5 킠,Pd,LB
48,0.744,0.749,0.735,0.747,0.707,0.717,0.745,0.8,0.791,0.735,0.817,0.818,0.096,0.096,0.096,0.742666667,0.723666667,0.778666667,0.79,0.096,0.007094599,0.02081666,0.029501412,0.047634021,1.69967E-17
49,0.739,0.743,0.722,0.765,0.721,0.712,0.732,0.78,0.801,0.783,0.827,0.827,0.096,0.095,0.096,0.734666667,0.732666667,0.771,0.812333333,0.095666667,0.011150486,0.028360771,0.035369478,0.025403412,0.00057735
50,0.738,0.756,0.72,0.764,0.724,0.697,0.729,0.778,0.856,0.823,0.845,0.83,0.096,0.095,0.096,0.738,0.728333333,0.787666667,0.832666667,0.095666667,0.018,0.033709544,0.06404946,0.01123981,0.00057735
51,0.738,0.745,0.695,0.742,0.756,0.701,0.728,0.765,0.795,0.817,0.869,0.82,0.096,0.096,0.096,0.726,0.733,0.762666667,0.835333333,0.096,0.027073973,0.028583212,0.03356089,0.029194748,1.69967E-17
52,0.727,0.739,0.713,0.72,0.776,0.689,0.733,0.75,0.793,0.809,0.873,0.817,0.096,0.095,0.096,0.726333333,0.728333333,0.758666667,0.833,0.095666667,0.013012814,0.044094595,0.03092464,0.034871192,0.00057735
53,0.706,0.737,0.716,0.71,0.835,0.668,0.707,0.761,0.791,0.847,0.887,0.816,0.096,0.095,0.096,0.719666667,0.737666667,0.753,0.85,0.095666667,0.015821926,0.086869634,0.042567593,0.035594943,0.00057735
54,0.716,0.726,0.694,0.695,0.868,0.649,0.712,0.737,0.789,0.851,0.892,0.797,0.095,0.095,0.096,0.712,0.737333333,0.746,0.846666667,0.095333333,0.016370706,0.115474384,0.039281039,0.047648015,0.00057735
55,0.714,0.731,0.673,0.673,0.899,0.637,0.689,0.758,0.84,0.862,0.902,0.784,0.096,0.095,0.096,0.706,0.736333333,0.762333333,0.849333333,0.095666667,0.029816103,0.142018778,0.07559321,0.06001111,0.00057735
56,0.699,0.723,0.651,0.735,0.912,0.646,0.661,0.743,0.84,0.86,0.892,0.75,0.095,0.095,0.096,0.691,0.764333333,0.748,0.834,0.095333333,0.036660606,0.135404333,0.089604687,0.074484898,0.00057735
57,0.696,0.692,0.644,0.703,0.908,0.667,0.652,0.785,0.817,0.881,0.896,0.714,0.095,0.095,0.096,0.677333333,0.759333333,0.751333333,0.830333333,0.095333333,0.028936713,0.130001282,0.087500476,0.101026399,0.00057735
