,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avr,,,,,sd,,,,
,25 然,,,,,12.5 然,,,,,6.25 然,,,,,,,,,,PD,,,,,LB,,,,,25 然,12.5 然,6.25 然,PD,LB,25 然,12.5 然,6.25 然,PD,LB
Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G6,0.1035,0.103,0.103,0.103333333,0.099,0.00057735,0.001,0.001154701,0.00057735,0.001414214
49,0.713,0.77,0.775,0.782,0.773,0.831,0.804,0.767,0.764,0.758,0.755,0.566,0.701,0.851,0.925,0.865,0.919,0.914,0.896,0.89,0.678,0.693,0.726,0.654,0.854,0.097,0.099,0.101,0.1,0.1,0.8035,0.755333333,0.895142857,0.669666667,0.0994,0.005259911,0.010214369,0.038993284,0.038837267,0.001516575
50,0.727,0.804,0.806,0.808,0.796,0.816,0.802,0.748,0.767,0.751,0.771,0.563,0.708,0.825,0.928,0.869,0.93,0.924,0.881,0.909,0.638,0.743,0.713,0.658,0.841,0.097,0.099,0.101,0.1,0.1,0.78525,0.761666667,0.908857143,0.665,0.0994,0.015777093,0.013316656,0.020939823,0.033645208,0.001516575
51,0.736,0.786,0.802,0.764,0.789,0.809,0.785,0.755,0.753,0.777,0.785,0.563,0.739,0.896,0.937,0.871,0.917,0.922,0.909,0.91,0.639,0.809,0.703,0.653,0.846,0.097,0.099,0.101,0.1,0.1,0.7895,0.742333333,0.918571429,0.66,0.0994,0.009609024,0.023629078,0.030587891,0.037322915,0.001516575
52,0.742,0.796,0.787,0.798,0.777,0.824,0.774,0.724,0.734,0.769,0.775,0.561,0.688,0.893,0.93,0.868,0.923,0.925,0.965,0.926,0.628,0.844,0.701,0.651,0.83,0.097,0.099,0.101,0.1,0.1,0.78275,0.739,0.917428571,0.646666667,0.0994,0.010210289,0.012767145,0.034326167,0.023007245,0.001516575
53,0.739,0.791,0.791,0.779,0.77,0.805,0.767,0.725,0.742,0.75,0.77,0.556,0.807,0.899,0.921,0.866,0.92,0.905,0.978,0.933,0.624,0.866,0.67,0.646,0.812,0.097,0.099,0.101,0.1,0.1,0.7995,0.731,0.928571429,0.637333333,0.0994,0.0124499,0.013453624,0.047961294,0.030005555,0.001516575
54,0.743,0.806,0.813,0.794,0.785,0.784,0.761,0.716,0.742,0.735,0.794,0.557,0.807,0.889,0.919,0.86,0.916,1.001,0.971,0.944,0.607,1.342,0.667,0.638,0.81,0.097,0.099,0.101,0.1,0.1,0.795,0.722666667,0.927428571,0.629666667,0.0994,0.00678233,0.013650397,0.050569613,0.025794056,0.001516575
55,0.74,0.798,0.785,0.797,0.8,0.743,0.718,0.707,0.732,0.729,0.737,0.558,0.824,0.9,0.922,0.848,0.907,1,0.977,0.938,0.601,0.656,0.651,0.637,0.805,0.097,0.099,0.101,0.1,0.1,0.7945,0.697333333,0.924,0.632666667,0.0994,0.019891372,0.021221059,0.051652686,0.004932883,0.001516575
56,0.727,0.818,0.786,0.802,0.772,0.747,0.713,0.673,0.707,0.712,0.748,0.552,0.813,0.912,0.915,0.841,0.898,0.996,0.979,0.927,0.635,0.653,0.636,0.627,0.792,0.097,0.099,0.101,0.1,0.1,0.78825,0.692,0.919857143,0.626666667,0.0994,0.018300729,0.008717798,0.053791042,0.016502525,0.001516575
57,0.724,0.796,0.791,0.762,0.804,0.78,0.713,0.682,0.698,0.696,0.732,0.547,0.708,0.91,0.918,0.835,0.874,0.994,0.962,0.946,0.645,0.628,0.613,0.622,0.755,0.097,0.099,0.101,0.1,0.1,0.78925,0.671333333,0.928857143,0.636666667,0.0992,0.025460754,0.015143756,0.065897467,0.055752429,0.00148324
58,0.714,0.806,0.811,0.755,0.785,0.761,0.683,0.654,0.678,0.682,0.717,0.542,0.742,0.931,1.013,0.829,0.854,0.981,0.95,0.944,0.7,0.603,0.595,0.615,0.722,0.097,0.099,0.101,0.1,0.099,0.76475,0.684333333,0.927571429,0.662,0.0992,0.014637281,0.040153871,0.064577749,0.118949569,0.00148324
59,0.706,0.774,0.776,0.744,0.765,0.759,0.692,0.638,0.706,0.709,0.731,0.539,0.77,0.942,0.994,0.819,0.857,0.971,0.966,0.944,0.799,0.576,0.585,0.602,0.655,0.097,0.099,0.101,0.1,0.099,0.74325,0.669333333,0.918,0.669666667,0.0992,0.024595054,0.045610671,0.06706216,0.146500284,0.00148324
60,0.675,0.752,0.765,0.708,0.748,0.717,0.672,0.622,0.673,0.713,0.715,0.544,0.76,0.931,0.98,0.813,0.833,0.962,0.965,0.942,0.838,0.557,0.571,0.6,0.677,0.097,0.099,0.101,0.1,0.099,0.73625,0.684666667,0.904571429,0.716333333,0.0992,0.032735047,0.081989837,0.073896002,0.255406212,0.00148324
61,0.668,0.759,0.769,0.702,0.715,0.728,0.669,0.593,0.751,0.71,0.699,0.527,0.748,0.917,0.975,0.784,0.817,0.955,0.949,0.935,1.01,0.533,0.546,0.593,0.643,0.097,0.099,0.101,0.1,0.099,0.71,0.639333333,0.894285714,0.684,0.0992,0.028307832,0.090234879,0.072428618,0.230219461,0.00148324
62,0.639,0.747,0.715,0.697,0.681,0.77,0.692,0.538,0.669,0.711,0.687,0.521,0.72,0.92,0.964,0.773,0.81,0.939,0.927,0.927,0.948,0.522,0.525,0.579,0.611,0.097,0.099,0.101,0.1,0.099,0.6955,0.679333333,0.876142857,0.553,0.0992,0.027574142,0.01761628,0.080819611,0.039949969,0.00148324
63,0.621,0.735,0.692,0.672,0.683,0.709,0.698,0.665,0.674,0.699,0.689,0.51,0.732,0.898,0.946,0.753,0.768,0.923,0.938,0.907,0.579,0.492,0.507,0.573,0.578,0.097,0.099,0.101,0.1,0.099,0.69,0.712333333,0.874,0.509666667,0.0992,0.034679485,0.123062315,0.065967164,0.049652123,0.00148324
64,0.609,0.72,0.72,0.662,0.658,0.685,0.748,0.613,0.85,0.674,0.659,0.507,0.702,0.893,0.943,0.823,0.75,0.911,0.913,0.885,0.495,0.478,0.469,0.565,0.542,0.097,0.099,0.101,0.1,0.099,0.656,0.679666667,0.828857143,0.502666667,0.0988,0.054123316,0.112001488,0.080582108,0.06137046,0.001643168
65,0.598,0.711,0.693,0.619,0.601,0.677,0.659,0.568,0.679,0.792,0.667,0.482,0.705,0.828,0.912,0.72,0.716,0.891,0.885,0.85,0.475,0.475,0.46,0.573,0.512,0.096,0.099,0.1,0.1,0.099,0.6185,0.646666667,0.809142857,0.496666667,0.0988,0.050632664,0.098068004,0.064795649,0.065987373,0.001643168
66,0.594,0.684,0.632,0.586,0.572,0.597,0.638,0.558,0.752,0.63,0.622,0.471,0.662,0.798,0.888,0.76,0.706,0.866,0.856,0.79,0.474,0.451,0.445,0.571,0.485,0.096,0.099,0.1,0.1,0.099,0.60025,0.585333333,0.773285714,0.479666667,0.0986,0.037097844,0.038397048,0.067864361,0.063342982,0.001516575
67,0.578,0.645,0.612,0.586,0.558,0.559,0.626,0.541,0.607,0.608,0.662,0.46,0.674,0.715,0.857,0.744,0.693,0.845,0.828,0.731,0.458,0.446,0.43,0.551,0.457,0.096,0.099,0.1,0.099,0.099,0.6125,0.575666667,0.763571429,0.473666667,0.0984,0.063595073,0.035388322,0.088939787,0.065911557,0.001516575
68,0.562,0.613,0.648,0.666,0.523,0.548,0.559,0.536,0.604,0.587,0.624,0.442,0.603,0.658,0.848,0.757,0.626,0.821,0.794,0.841,0.458,0.456,0.417,0.546,0.433,0.096,0.098,0.1,0.099,0.099,,,,,,,,,,
